Company,Market Share (%),Annual Revenue (₹),Number of Installations,Pricing Model,Key Features,Regions with Highest Usage
Ezetap,1.97,840000000,48880,One-time Purchase,Enterprise Solutions,Rural Areas
Pine Labs,10.87,547000000,119003,One-time Purchase,Enterprise Solutions,Tier 2 Cities
Marg ERP,4.12,589000000,144392,One-time Purchase,Enterprise Solutions,Metropolitan Cities
Ezetap,1.54,796000000,54589,One-time Purchase,Analytics,Metropolitan Cities
Logic ERP,9.65,416000000,40897,Subscription,E-commerce Integration,Nationwide
Vend,19.81,362000000,194637,One-time Purchase,Inventory Management,Nationwide
Vend,14.59,587000000,167002,Subscription,Analytics,Rural Areas
Ezetap,8.51,970000000,193305,One-time Purchase,Merchant Financing,Metropolitan Cities
Petpooja,16.7,103000000,19380,One-time Purchase,Integrated Payments,Rural Areas
Pine Labs,6.57,590000000,75934,One-time Purchase,E-commerce Integration,Tier 2 Cities
Razorpay,1.35,516000000,60830,Subscription,Customer Loyalty,Tier 1 Cities
Paytm,19.34,914000000,10529,One-time Purchase,Analytics,Metropolitan Cities
Mswipe,15.97,213000000,99598,One-time Purchase,Enterprise Solutions,Tier 2 Cities
Vend,19.3,831000000,87987,One-time Purchase,E-commerce Integration,Metropolitan Cities
Petpooja,1.93,383000000,54178,Subscription,Merchant Financing,Nationwide
Mswipe,21.09,596000000,143009,One-time Purchase,Inventory Management,Rural Areas
Retail Pro,15.87,847000000,126952,One-time Purchase,Merchant Financing,Nationwide
Retail Pro,14.52,397000000,44886,Subscription,Integrated Payments,Tier 1 Cities
Razorpay,15.99,322000000,54699,Subscription,Mobile POS,Nationwide
SnapBizz,21.75,769000000,81396,One-time Purchase,Analytics,Metropolitan Cities
Just Billing,15.09,799000000,95678,One-time Purchase,Enterprise Solutions,Nationwide
Paytm,14.94,463000000,30279,One-time Purchase,Integrated Payments,Metropolitan Cities
Vend,24.78,549000000,174178,Subscription,Mobile POS,Tier 1 Cities
Paytm,19.16,142000000,115776,Subscription,Enterprise Solutions,Nationwide
Retail Pro,11.62,734000000,106444,Subscription,Enterprise Solutions,Rural Areas
Logic ERP,17.98,128000000,111300,One-time Purchase,Enterprise Solutions,Rural Areas
Logic ERP,10.34,671000000,118793,Subscription,Analytics,Rural Areas
Mswipe,6.49,266000000,121278,One-time Purchase,Integrated Payments,Nationwide
Logic ERP,15.32,996000000,176616,Subscription,Enterprise Solutions,Nationwide
RetailNext,23.28,407000000,108247,Subscription,Merchant Financing,Nationwide
SnapBizz,23.3,667000000,13997,Subscription,Integrated Payments,Metropolitan Cities
Unicommerce,9.21,556000000,111102,One-time Purchase,E-commerce Integration,Tier 1 Cities
Mswipe,13.66,608000000,90711,One-time Purchase,Merchant Financing,Rural Areas
Vend,6.08,230000000,121045,One-time Purchase,Analytics,Metropolitan Cities
FusionResto,24.9,625000000,45860,One-time Purchase,Enterprise Solutions,Rural Areas
Mswipe,24.55,295000000,8225,Subscription,Integrated Payments,Metropolitan Cities
Gofrugal,16.59,293000000,115114,One-time Purchase,Customer Loyalty,Nationwide
Unicommerce,20.31,555000000,195542,Subscription,Analytics,Rural Areas
SnapBizz,18.16,471000000,118218,One-time Purchase,Integrated Payments,Nationwide
Mswipe,15.24,369000000,105764,One-time Purchase,E-commerce Integration,Rural Areas
Mswipe,2.28,136000000,112041,Subscription,Enterprise Solutions,Tier 2 Cities
Logic ERP,11.91,266000000,117224,Subscription,Mobile POS,Metropolitan Cities
Marg ERP,17.19,539000000,68656,One-time Purchase,Enterprise Solutions,Tier 2 Cities
Mswipe,17.26,568000000,187952,One-time Purchase,Mobile POS,Metropolitan Cities
Posiflex,9.95,327000000,197150,Subscription,Customer Loyalty,Tier 1 Cities
Paytm,23.6,898000000,81290,Subscription,Analytics,Rural Areas
Vend,5.02,771000000,61633,Subscription,E-commerce Integration,Tier 1 Cities
Retail Pro,13.01,218000000,31655,Subscription,Integrated Payments,Tier 1 Cities
Posiflex,17.58,379000000,126118,Subscription,Integrated Payments,Metropolitan Cities
Posiflex,17.73,699000000,179673,One-time Purchase,Mobile POS,Tier 2 Cities
Pine Labs,16.57,490000000,8114,One-time Purchase,E-commerce Integration,Nationwide
FusionResto,7.61,440000000,31502,One-time Purchase,Merchant Financing,Metropolitan Cities
Petpooja,4.75,545000000,54768,One-time Purchase,Customer Loyalty,Nationwide
Logic ERP,16.26,430000000,53128,Subscription,Mobile POS,Tier 1 Cities
RetailNext,15.38,355000000,156100,Subscription,Mobile POS,Nationwide
RetailNext,5.3,791000000,191637,Subscription,Customer Loyalty,Tier 2 Cities
FusionResto,17.92,869000000,88123,One-time Purchase,Analytics,Metropolitan Cities
Gofrugal,11.92,722000000,113255,Subscription,Integrated Payments,Tier 2 Cities
Gofrugal,17.03,562000000,171405,Subscription,Analytics,Tier 2 Cities
Razorpay,21.1,797000000,8174,One-time Purchase,E-commerce Integration,Metropolitan Cities
Vend,5.07,998000000,122769,One-time Purchase,Merchant Financing,Tier 2 Cities
Shopify POS,1.46,237000000,40398,One-time Purchase,Enterprise Solutions,Rural Areas
Shopify POS,19.7,979000000,172001,Subscription,Inventory Management,Rural Areas
RetailGraph,15.63,565000000,140393,Subscription,Inventory Management,Rural Areas
Retail Pro,17.79,962000000,128549,One-time Purchase,Inventory Management,Nationwide
RetailGraph,21.12,693000000,191493,One-time Purchase,Customer Loyalty,Tier 2 Cities
Retail Pro,20.27,476000000,77635,Subscription,Mobile POS,Metropolitan Cities
Shopify POS,24.06,551000000,28760,One-time Purchase,Merchant Financing,Metropolitan Cities
Marg ERP,13.86,779000000,147432,Subscription,Analytics,Nationwide
Razorpay,12.72,309000000,146385,One-time Purchase,Enterprise Solutions,Metropolitan Cities
Logic ERP,10.65,562000000,135674,One-time Purchase,Integrated Payments,Rural Areas
Vend,4.69,120000000,141873,One-time Purchase,Inventory Management,Tier 2 Cities
RetailGraph,14.74,527000000,19130,Subscription,Analytics,Metropolitan Cities
Tally,7.65,227000000,150343,Subscription,Inventory Management,Metropolitan Cities
Retail Pro,23.11,506000000,152147,One-time Purchase,Merchant Financing,Tier 1 Cities
Mswipe,15.0,238000000,112215,Subscription,Inventory Management,Tier 1 Cities
RetailGraph,15.23,340000000,155056,One-time Purchase,Integrated Payments,Tier 1 Cities
Mswipe,9.52,569000000,93095,One-time Purchase,Enterprise Solutions,Tier 2 Cities
Just Billing,2.25,814000000,65942,Subscription,E-commerce Integration,Rural Areas
Petpooja,1.76,969000000,148933,Subscription,E-commerce Integration,Rural Areas
Tally,11.16,341000000,103970,Subscription,Merchant Financing,Rural Areas
FusionResto,3.03,995000000,87203,Subscription,E-commerce Integration,Tier 2 Cities
Marg ERP,15.56,805000000,197319,One-time Purchase,Customer Loyalty,Tier 2 Cities
FusionResto,22.14,684000000,157049,Subscription,Mobile POS,Tier 1 Cities
RetailGraph,22.19,860000000,186689,Subscription,Customer Loyalty,Metropolitan Cities
SnapBizz,16.82,332000000,193545,One-time Purchase,Analytics,Nationwide
FusionResto,6.07,593000000,93177,One-time Purchase,Customer Loyalty,Nationwide
RetailGraph,21.71,895000000,77902,One-time Purchase,Analytics,Metropolitan Cities
Vend,22.27,426000000,97172,One-time Purchase,Analytics,Tier 1 Cities
Petpooja,5.72,707000000,151702,Subscription,Mobile POS,Metropolitan Cities
SnapBizz,18.7,205000000,25056,Subscription,Integrated Payments,Metropolitan Cities
Ezetap,7.88,557000000,143454,One-time Purchase,Enterprise Solutions,Nationwide
Tally,20.26,462000000,60739,One-time Purchase,Merchant Financing,Tier 1 Cities
Just Billing,24.93,577000000,86685,Subscription,Mobile POS,Tier 2 Cities
Pine Labs,1.72,404000000,53639,Subscription,Merchant Financing,Nationwide
Just Billing,22.54,608000000,195910,Subscription,E-commerce Integration,Tier 2 Cities
RetailNext,15.94,812000000,182113,Subscription,E-commerce Integration,Tier 1 Cities
Petpooja,24.36,236000000,5992,Subscription,Customer Loyalty,Metropolitan Cities
Mswipe,12.16,80000000,77394,One-time Purchase,Analytics,Rural Areas
Tally,21.34,309000000,72657,One-time Purchase,Inventory Management,Rural Areas
Razorpay,2.5,470000000,32160,One-time Purchase,Inventory Management,Tier 1 Cities
Razorpay,9.05,578000000,50156,One-time Purchase,Merchant Financing,Rural Areas
RetailGraph,2.61,600000000,187447,Subscription,Analytics,Tier 2 Cities
Marg ERP,24.41,353000000,91442,One-time Purchase,Merchant Financing,Rural Areas
RetailNext,20.61,991000000,155644,Subscription,Mobile POS,Tier 1 Cities
Logic ERP,21.46,993000000,122925,Subscription,Integrated Payments,Tier 1 Cities
RetailNext,23.51,88000000,9136,Subscription,Enterprise Solutions,Tier 2 Cities
FusionResto,3.04,538000000,66868,Subscription,Mobile POS,Rural Areas
SnapBizz,10.25,693000000,87263,Subscription,Analytics,Rural Areas
Unicommerce,2.7,591000000,37167,Subscription,Analytics,Metropolitan Cities
Tally,6.06,719000000,115957,Subscription,Integrated Payments,Nationwide
RetailNext,6.5,327000000,20479,One-time Purchase,Merchant Financing,Tier 1 Cities
Ezetap,12.26,252000000,124392,Subscription,Customer Loyalty,Metropolitan Cities
FusionResto,7.45,115000000,167448,One-time Purchase,Customer Loyalty,Tier 1 Cities
Pine Labs,3.42,157000000,140895,One-time Purchase,Integrated Payments,Metropolitan Cities
Gofrugal,5.02,317000000,24585,Subscription,Customer Loyalty,Nationwide
Marg ERP,4.53,271000000,153344,Subscription,Inventory Management,Metropolitan Cities
Just Billing,24.35,853000000,31619,One-time Purchase,Customer Loyalty,Tier 1 Cities
Logic ERP,19.22,579000000,80069,One-time Purchase,Customer Loyalty,Rural Areas
Ezetap,24.23,139000000,44895,One-time Purchase,Customer Loyalty,Tier 1 Cities
Pine Labs,11.55,742000000,8720,One-time Purchase,Inventory Management,Tier 2 Cities
Tally,7.68,304000000,24267,Subscription,Merchant Financing,Tier 2 Cities
Just Billing,20.16,504000000,151768,Subscription,Customer Loyalty,Tier 2 Cities
FusionResto,8.83,302000000,166040,Subscription,E-commerce Integration,Tier 2 Cities
Razorpay,8.19,306000000,58364,One-time Purchase,Inventory Management,Nationwide
Marg ERP,6.58,432000000,159417,Subscription,Integrated Payments,Rural Areas
Petpooja,4.11,491000000,56567,One-time Purchase,Mobile POS,Rural Areas
Shopify POS,7.16,907000000,96229,Subscription,Integrated Payments,Tier 1 Cities
RetailNext,9.53,648000000,197679,One-time Purchase,Mobile POS,Metropolitan Cities
RetailNext,17.18,139000000,155457,Subscription,Enterprise Solutions,Tier 1 Cities
Tally,2.5,798000000,83518,Subscription,Integrated Payments,Tier 1 Cities
Ezetap,6.05,439000000,87844,One-time Purchase,E-commerce Integration,Tier 1 Cities
Gofrugal,20.42,631000000,168991,One-time Purchase,Mobile POS,Tier 1 Cities
FusionResto,4.53,93000000,95697,One-time Purchase,Mobile POS,Rural Areas
Ezetap,9.22,761000000,62196,One-time Purchase,Analytics,Metropolitan Cities
Unicommerce,21.75,713000000,120600,One-time Purchase,Mobile POS,Tier 1 Cities
Posiflex,4.72,647000000,105625,Subscription,Mobile POS,Rural Areas
Petpooja,2.99,68000000,136567,One-time Purchase,Analytics,Tier 1 Cities
Paytm,12.63,150000000,49755,Subscription,Customer Loyalty,Tier 2 Cities
Marg ERP,8.26,963000000,38324,Subscription,Customer Loyalty,Tier 1 Cities
Unicommerce,14.52,656000000,83929,Subscription,Analytics,Tier 1 Cities
RetailGraph,20.29,815000000,137624,Subscription,Inventory Management,Nationwide
Retail Pro,4.29,406000000,56272,Subscription,Enterprise Solutions,Tier 2 Cities
Paytm,14.94,591000000,171925,One-time Purchase,Mobile POS,Metropolitan Cities
Tally,13.13,810000000,168996,One-time Purchase,Mobile POS,Tier 1 Cities
Petpooja,4.46,987000000,79462,Subscription,Analytics,Metropolitan Cities
Posiflex,15.98,82000000,159961,Subscription,Analytics,Tier 2 Cities
Petpooja,7.57,278000000,59675,One-time Purchase,Inventory Management,Tier 1 Cities
Logic ERP,12.71,573000000,78591,One-time Purchase,E-commerce Integration,Nationwide
RetailGraph,2.97,679000000,158706,Subscription,Customer Loyalty,Rural Areas
Ezetap,12.03,911000000,37363,One-time Purchase,Integrated Payments,Nationwide
Logic ERP,8.36,204000000,199824,One-time Purchase,E-commerce Integration,Nationwide
Razorpay,20.74,472000000,82004,One-time Purchase,Merchant Financing,Rural Areas
Mswipe,2.37,954000000,192470,Subscription,Customer Loyalty,Rural Areas
Unicommerce,11.05,295000000,45718,One-time Purchase,Mobile POS,Rural Areas
Petpooja,12.0,454000000,118627,Subscription,Merchant Financing,Tier 1 Cities
Petpooja,18.4,893000000,31870,Subscription,E-commerce Integration,Metropolitan Cities
SnapBizz,14.78,808000000,42394,Subscription,Analytics,Metropolitan Cities
Just Billing,17.01,590000000,57057,Subscription,Inventory Management,Rural Areas
Pine Labs,19.65,210000000,84795,Subscription,Customer Loyalty,Nationwide
Razorpay,21.69,796000000,85409,One-time Purchase,Inventory Management,Tier 2 Cities
Logic ERP,8.53,751000000,18016,Subscription,Merchant Financing,Rural Areas
Logic ERP,13.91,166000000,47137,Subscription,Customer Loyalty,Nationwide
Logic ERP,21.16,320000000,136225,Subscription,Enterprise Solutions,Nationwide
Mswipe,24.75,819000000,143925,One-time Purchase,Enterprise Solutions,Tier 1 Cities
Petpooja,22.35,741000000,17379,One-time Purchase,E-commerce Integration,Tier 1 Cities
Vend,9.92,536000000,151864,One-time Purchase,Mobile POS,Metropolitan Cities
Posiflex,5.68,934000000,126169,One-time Purchase,Enterprise Solutions,Metropolitan Cities
Razorpay,12.75,221000000,174439,One-time Purchase,Enterprise Solutions,Tier 2 Cities
RetailGraph,18.8,999000000,154172,One-time Purchase,Integrated Payments,Tier 2 Cities
Paytm,12.82,323000000,131082,One-time Purchase,Inventory Management,Tier 2 Cities
SnapBizz,12.6,308000000,118089,Subscription,Inventory Management,Tier 2 Cities
Tally,21.12,184000000,199528,Subscription,Enterprise Solutions,Nationwide
Tally,9.67,732000000,16049,One-time Purchase,Integrated Payments,Nationwide
Vend,21.64,771000000,136858,Subscription,Inventory Management,Metropolitan Cities
Pine Labs,10.76,797000000,166771,Subscription,Inventory Management,Tier 1 Cities
Razorpay,8.88,471000000,127784,One-time Purchase,Customer Loyalty,Tier 1 Cities
Just Billing,11.9,470000000,52691,Subscription,Customer Loyalty,Rural Areas
Paytm,19.3,235000000,173112,Subscription,Integrated Payments,Nationwide
Logic ERP,4.02,978000000,62986,One-time Purchase,Merchant Financing,Tier 2 Cities
FusionResto,5.71,413000000,174834,Subscription,Mobile POS,Tier 2 Cities
Gofrugal,23.83,656000000,159672,One-time Purchase,E-commerce Integration,Rural Areas
Tally,5.21,427000000,99774,One-time Purchase,Enterprise Solutions,Tier 1 Cities
Marg ERP,14.63,572000000,155882,Subscription,Enterprise Solutions,Tier 2 Cities
Gofrugal,14.9,629000000,110315,Subscription,E-commerce Integration,Tier 1 Cities
Retail Pro,12.75,940000000,62204,Subscription,Enterprise Solutions,Rural Areas
Logic ERP,16.47,771000000,25085,One-time Purchase,Enterprise Solutions,Tier 1 Cities
Ezetap,6.52,245000000,182926,One-time Purchase,Merchant Financing,Tier 1 Cities
SnapBizz,14.26,930000000,175851,One-time Purchase,Inventory Management,Tier 1 Cities
Mswipe,9.93,147000000,192279,Subscription,Mobile POS,Tier 2 Cities
FusionResto,16.88,654000000,38980,Subscription,Enterprise Solutions,Metropolitan Cities
Razorpay,4.39,71000000,61117,One-time Purchase,Integrated Payments,Nationwide
Retail Pro,14.7,499000000,150213,Subscription,Merchant Financing,Tier 1 Cities
Gofrugal,5.45,221000000,145416,Subscription,Enterprise Solutions,Tier 1 Cities
Paytm,7.69,432000000,20896,One-time Purchase,Integrated Payments,Tier 1 Cities
Paytm,6.25,183000000,94353,One-time Purchase,Customer Loyalty,Metropolitan Cities
Marg ERP,5.39,475000000,34813,Subscription,Inventory Management,Rural Areas
SnapBizz,20.82,74000000,70679,One-time Purchase,Analytics,Tier 2 Cities
FusionResto,7.86,552000000,146753,Subscription,Enterprise Solutions,Metropolitan Cities
Tally,23.25,234000000,8228,One-time Purchase,Integrated Payments,Tier 1 Cities
Shopify POS,24.28,134000000,140654,One-time Purchase,Merchant Financing,Metropolitan Cities
Just Billing,14.71,616000000,16397,One-time Purchase,Inventory Management,Metropolitan Cities
Razorpay,4.43,812000000,174871,Subscription,Mobile POS,Metropolitan Cities
SnapBizz,9.99,193000000,42011,Subscription,Merchant Financing,Rural Areas
Pine Labs,20.15,912000000,84183,One-time Purchase,Customer Loyalty,Nationwide
Shopify POS,9.82,959000000,98254,One-time Purchase,E-commerce Integration,Tier 2 Cities
Unicommerce,3.09,728000000,180336,One-time Purchase,Enterprise Solutions,Rural Areas
Marg ERP,14.36,461000000,47317,Subscription,Mobile POS,Rural Areas
FusionResto,21.28,273000000,183986,One-time Purchase,Integrated Payments,Nationwide
Vend,20.1,269000000,107489,One-time Purchase,Enterprise Solutions,Rural Areas
Tally,5.2,228000000,181326,One-time Purchase,Integrated Payments,Metropolitan Cities
Gofrugal,17.15,680000000,45096,One-time Purchase,Mobile POS,Metropolitan Cities
Marg ERP,6.29,482000000,58785,Subscription,Integrated Payments,Tier 1 Cities
Petpooja,6.24,314000000,57344,Subscription,Merchant Financing,Rural Areas
Mswipe,21.98,478000000,125382,One-time Purchase,Inventory Management,Tier 1 Cities
Ezetap,6.99,711000000,164484,Subscription,Integrated Payments,Tier 2 Cities
SnapBizz,7.32,465000000,115489,Subscription,Customer Loyalty,Metropolitan Cities
Posiflex,1.02,502000000,187730,Subscription,Inventory Management,Tier 2 Cities
Pine Labs,21.9,776000000,185621,One-time Purchase,Merchant Financing,Nationwide
Posiflex,20.02,246000000,16549,Subscription,Enterprise Solutions,Metropolitan Cities
Shopify POS,16.06,603000000,30739,Subscription,Analytics,Tier 2 Cities
Tally,19.01,102000000,26209,Subscription,Enterprise Solutions,Nationwide
Unicommerce,4.65,529000000,112051,One-time Purchase,Integrated Payments,Tier 2 Cities
Unicommerce,12.0,492000000,20116,One-time Purchase,Integrated Payments,Nationwide
Just Billing,9.43,379000000,25045,Subscription,Customer Loyalty,Nationwide
Razorpay,3.25,300000000,162399,Subscription,Merchant Financing,Metropolitan Cities
Logic ERP,12.67,856000000,40709,One-time Purchase,Customer Loyalty,Tier 1 Cities
Posiflex,23.1,939000000,48617,One-time Purchase,E-commerce Integration,Nationwide
Razorpay,1.96,832000000,196211,Subscription,Merchant Financing,Nationwide
Marg ERP,8.0,974000000,162977,Subscription,Mobile POS,Metropolitan Cities
RetailNext,5.98,172000000,124779,One-time Purchase,Mobile POS,Tier 1 Cities
Petpooja,6.72,928000000,47919,One-time Purchase,Mobile POS,Rural Areas
Just Billing,22.8,436000000,88521,Subscription,Customer Loyalty,Rural Areas
Vend,12.23,388000000,194518,One-time Purchase,Mobile POS,Tier 1 Cities
Pine Labs,12.19,827000000,188500,Subscription,Merchant Financing,Tier 2 Cities
Vend,19.25,397000000,183966,Subscription,Mobile POS,Metropolitan Cities
Logic ERP,4.71,78000000,11447,Subscription,Analytics,Tier 1 Cities
Razorpay,12.69,84000000,10499,One-time Purchase,Mobile POS,Rural Areas
Vend,11.32,567000000,44041,Subscription,Integrated Payments,Nationwide
Paytm,15.33,445000000,36315,Subscription,E-commerce Integration,Rural Areas
Petpooja,24.99,672000000,137371,One-time Purchase,Customer Loyalty,Nationwide
Mswipe,19.47,343000000,125506,One-time Purchase,Inventory Management,Metropolitan Cities
Mswipe,10.55,638000000,141066,Subscription,E-commerce Integration,Nationwide
Logic ERP,20.86,398000000,143561,Subscription,Analytics,Tier 1 Cities
Marg ERP,5.1,196000000,96647,One-time Purchase,Customer Loyalty,Nationwide
Tally,1.73,116000000,37355,One-time Purchase,Merchant Financing,Tier 2 Cities
Razorpay,5.91,953000000,78805,One-time Purchase,Enterprise Solutions,Tier 1 Cities
Vend,9.17,569000000,73367,Subscription,Customer Loyalty,Metropolitan Cities
Petpooja,13.25,171000000,114906,Subscription,Integrated Payments,Tier 1 Cities
Ezetap,15.76,389000000,122409,Subscription,Merchant Financing,Tier 2 Cities
Shopify POS,22.85,224000000,82355,One-time Purchase,E-commerce Integration,Metropolitan Cities
RetailGraph,13.24,949000000,121220,Subscription,E-commerce Integration,Rural Areas
Just Billing,13.03,740000000,92173,One-time Purchase,Mobile POS,Tier 2 Cities
Marg ERP,2.21,646000000,6996,Subscription,Merchant Financing,Metropolitan Cities
Petpooja,1.84,500000000,49387,One-time Purchase,Enterprise Solutions,Nationwide
FusionResto,14.23,606000000,8089,Subscription,Integrated Payments,Tier 1 Cities
Tally,11.52,185000000,103827,Subscription,Mobile POS,Metropolitan Cities
Posiflex,21.14,904000000,25659,One-time Purchase,Mobile POS,Tier 1 Cities
Gofrugal,4.86,65000000,50178,One-time Purchase,Enterprise Solutions,Nationwide
Gofrugal,1.6,382000000,100965,Subscription,Customer Loyalty,Metropolitan Cities
Logic ERP,11.78,244000000,86268,One-time Purchase,E-commerce Integration,Rural Areas
RetailNext,6.7,545000000,90042,One-time Purchase,Mobile POS,Tier 2 Cities
Just Billing,2.19,58000000,111471,Subscription,Analytics,Metropolitan Cities
Logic ERP,18.39,877000000,75111,One-time Purchase,Analytics,Nationwide
Vend,3.68,383000000,170637,Subscription,E-commerce Integration,Metropolitan Cities
Vend,15.6,382000000,105435,Subscription,Analytics,Tier 1 Cities
Razorpay,7.75,376000000,94242,One-time Purchase,Enterprise Solutions,Metropolitan Cities
Marg ERP,5.16,64000000,118204,One-time Purchase,Customer Loyalty,Rural Areas
Just Billing,10.11,888000000,158956,Subscription,Integrated Payments,Metropolitan Cities
Just Billing,20.23,663000000,22199,Subscription,Inventory Management,Tier 2 Cities
Pine Labs,10.41,275000000,65038,Subscription,Mobile POS,Metropolitan Cities
FusionResto,19.02,474000000,62786,Subscription,Inventory Management,Tier 1 Cities
Marg ERP,4.01,839000000,114636,Subscription,Integrated Payments,Metropolitan Cities
Shopify POS,19.55,457000000,54294,Subscription,Integrated Payments,Rural Areas
SnapBizz,6.69,162000000,170250,One-time Purchase,Enterprise Solutions,Nationwide
Marg ERP,17.26,477000000,148737,One-time Purchase,Customer Loyalty,Metropolitan Cities
Petpooja,14.58,50000000,5534,One-time Purchase,Analytics,Metropolitan Cities
Retail Pro,23.3,315000000,96828,Subscription,Analytics,Tier 2 Cities
RetailGraph,10.3,540000000,41132,One-time Purchase,Enterprise Solutions,Rural Areas
FusionResto,2.59,257000000,120720,Subscription,Integrated Payments,Nationwide
RetailGraph,1.46,671000000,41110,Subscription,Customer Loyalty,Tier 1 Cities
Ezetap,20.84,761000000,194826,One-time Purchase,Customer Loyalty,Metropolitan Cities
Shopify POS,13.59,418000000,68580,Subscription,E-commerce Integration,Nationwide
Shopify POS,19.61,355000000,158541,Subscription,Merchant Financing,Tier 1 Cities
Petpooja,6.63,61000000,69016,Subscription,Mobile POS,Rural Areas
Just Billing,9.28,394000000,51233,Subscription,Enterprise Solutions,Rural Areas
Pine Labs,1.72,514000000,134863,Subscription,Merchant Financing,Nationwide
RetailGraph,24.08,749000000,194304,Subscription,Enterprise Solutions,Tier 1 Cities
SnapBizz,17.03,715000000,111311,One-time Purchase,Analytics,Rural Areas
Mswipe,23.4,543000000,39409,Subscription,Integrated Payments,Nationwide
Marg ERP,7.37,417000000,155396,Subscription,Enterprise Solutions,Rural Areas
Retail Pro,15.68,895000000,144810,Subscription,Enterprise Solutions,Rural Areas
Ezetap,17.28,986000000,29054,Subscription,E-commerce Integration,Rural Areas
SnapBizz,8.62,469000000,34709,One-time Purchase,Inventory Management,Tier 2 Cities
SnapBizz,21.35,938000000,114321,One-time Purchase,Analytics,Tier 1 Cities
RetailGraph,23.73,840000000,5363,Subscription,Mobile POS,Nationwide
Retail Pro,22.24,220000000,15358,Subscription,Customer Loyalty,Nationwide
Gofrugal,18.74,183000000,139312,Subscription,Integrated Payments,Tier 1 Cities
Retail Pro,7.66,476000000,50689,One-time Purchase,Analytics,Tier 1 Cities
Logic ERP,7.76,74000000,6936,One-time Purchase,Inventory Management,Tier 1 Cities
Paytm,24.12,579000000,117272,One-time Purchase,Enterprise Solutions,Tier 1 Cities
SnapBizz,1.25,239000000,96074,One-time Purchase,Mobile POS,Metropolitan Cities
Vend,18.19,190000000,180037,Subscription,Enterprise Solutions,Nationwide
Tally,17.95,604000000,5882,One-time Purchase,Mobile POS,Metropolitan Cities
Logic ERP,15.94,895000000,156296,One-time Purchase,E-commerce Integration,Rural Areas
Just Billing,24.76,845000000,110227,Subscription,Enterprise Solutions,Rural Areas
Tally,8.49,707000000,130865,Subscription,Analytics,Nationwide
Pine Labs,9.16,364000000,128745,One-time Purchase,Inventory Management,Rural Areas
FusionResto,2.89,493000000,166897,One-time Purchase,Mobile POS,Tier 1 Cities
Unicommerce,11.63,368000000,33885,One-time Purchase,Integrated Payments,Metropolitan Cities
Just Billing,7.27,490000000,176128,One-time Purchase,Mobile POS,Tier 1 Cities
Logic ERP,9.24,141000000,139275,Subscription,Inventory Management,Rural Areas
RetailGraph,21.03,228000000,196313,Subscription,Customer Loyalty,Metropolitan Cities
Just Billing,23.45,105000000,138316,One-time Purchase,Customer Loyalty,Tier 1 Cities
Tally,5.46,204000000,103322,One-time Purchase,E-commerce Integration,Nationwide
SnapBizz,9.94,721000000,73619,One-time Purchase,Analytics,Tier 1 Cities
Petpooja,23.29,160000000,26584,One-time Purchase,Inventory Management,Rural Areas
Unicommerce,2.48,186000000,13521,One-time Purchase,E-commerce Integration,Metropolitan Cities
Razorpay,3.22,281000000,186089,Subscription,Merchant Financing,Nationwide
Paytm,4.91,517000000,38541,Subscription,Mobile POS,Metropolitan Cities
Unicommerce,15.29,781000000,34063,Subscription,Merchant Financing,Nationwide
Tally,4.61,530000000,75268,One-time Purchase,Mobile POS,Metropolitan Cities
Just Billing,24.23,117000000,131218,One-time Purchase,Customer Loyalty,Rural Areas
Ezetap,11.72,863000000,123206,Subscription,E-commerce Integration,Nationwide
RetailGraph,13.04,298000000,175635,Subscription,Customer Loyalty,Tier 2 Cities
RetailNext,6.92,372000000,175824,One-time Purchase,Integrated Payments,Metropolitan Cities
SnapBizz,12.3,971000000,138639,Subscription,Merchant Financing,Metropolitan Cities
RetailGraph,16.89,953000000,152193,One-time Purchase,Merchant Financing,Tier 1 Cities
SnapBizz,19.03,567000000,137746,One-time Purchase,Customer Loyalty,Nationwide
Razorpay,19.09,841000000,81411,Subscription,Integrated Payments,Tier 2 Cities
Tally,14.87,481000000,114876,Subscription,Mobile POS,Rural Areas
RetailNext,22.7,536000000,165212,Subscription,E-commerce Integration,Tier 1 Cities
Mswipe,20.62,655000000,145399,One-time Purchase,Integrated Payments,Tier 2 Cities
FusionResto,19.17,478000000,28331,One-time Purchase,E-commerce Integration,Nationwide
Just Billing,2.33,318000000,28004,Subscription,Merchant Financing,Tier 2 Cities
Just Billing,1.17,758000000,124243,One-time Purchase,E-commerce Integration,Metropolitan Cities
Unicommerce,6.1,586000000,146564,One-time Purchase,Merchant Financing,Metropolitan Cities
Mswipe,16.92,197000000,190869,One-time Purchase,Integrated Payments,Tier 1 Cities
Mswipe,10.87,167000000,194167,Subscription,Merchant Financing,Nationwide
Vend,10.66,899000000,149821,One-time Purchase,Enterprise Solutions,Nationwide
Logic ERP,22.23,416000000,68217,Subscription,Analytics,Tier 2 Cities
Gofrugal,22.49,899000000,94044,Subscription,Merchant Financing,Tier 1 Cities
Vend,22.82,115000000,14045,One-time Purchase,Customer Loyalty,Nationwide
Razorpay,8.53,862000000,25116,Subscription,Integrated Payments,Metropolitan Cities
Marg ERP,17.59,419000000,23667,One-time Purchase,Enterprise Solutions,Tier 2 Cities
Pine Labs,7.52,224000000,80057,Subscription,Mobile POS,Rural Areas
